Date,Volume,Open,Low,High,Close,Close.adj
2009/10/30,15736407,38,36,57,43.28,43.28
2009/11/2,5940356,38.95,38.95,41.22,38.95,38.95
2009/11/3,5448019,38,36,39.93,37.77,37.77
2009/11/4,5012628,38.2,38.18,40.5,39.86,39.86
2009/11/5,4709350,39.1,38.32,41.77,39.92,39.92
2009/11/6,2713493,39.7,38.53,39.94,38.9,38.9
2009/11/9,2194699,38.84,37.39,38.87,37.93,37.93
2009/11/10,2685788,38.3,36.6,38.3,36.74,36.74
2009/11/11,2528265,36.87,36.63,38.5,38.28,38.28
2009/11/12,2354301,38,37.72,39.49,38.47,38.47
2009/11/13,4970711,38.66,38.47,42.26,41.05,41.05
2009/11/16,2985734,41,40.06,41.5,41.28,41.28
2009/11/17,2357686,41,40.2,42.5,40.8,40.8
2009/11/18,3558401,40.8,40.3,42.62,41.8,41.8
2009/11/19,5399233,41.7,41.35,45.88,43.96,43.96
2009/11/20,2793377,43.3,42.7,44.44,43.19,43.19
2009/11/23,2374256,43.3,42.85,44.44,43.69,43.69
2009/11/24,3870610,43.78,39.32,44.1,39.6,39.6
2009/11/25,2516420,39.4,39.2,41.95,41.63,41.63
2009/11/26,3190527,41.5,40.85,42.88,42.33,42.33
2009/11/27,3066822,41.85,41,43.98,42.35,42.35
2009/11/30,2119687,43.01,41,43.45,42.8,42.8
2009/12/1,2715777,42.7,42.1,43.98,43.65,43.65
2009/12/2,4084225,43.67,43.3,45.97,44.69,44.69
2009/12/3,4864803,44.3,44.02,47.3,47.3,47.3
2009/12/4,4644784,45.5,42.57,46.48,43.45,43.45
2009/12/7,1815065,43.1,42.55,44.58,44.21,44.21
2009/12/8,3500829,44.44,43.7,47.44,46.69,46.69
2009/12/9,4117633,45.99,45.56,48.68,46.35,46.35
2009/12/10,2420964,46.5,44.91,47.25,45.2,45.2
2009/12/11,2419612,45.29,42.57,45.82,43.61,43.61
2009/12/14,1680564,43,41.6,43.65,42.35,42.35
2009/12/15,1173399,42.53,42.3,43.49,42.4,42.4
2009/12/16,1744294,42,40.7,42.44,40.77,40.77
