Date,Open,Low,High,Close,Volume,Close.adj
2009/10/30,48.86,42.65,72,51.9,23975079,51.9
2009/11/2,46.71,46.71,53.83,48.49,10095677,48.49
2009/11/3,49.31,47.61,53,50.7,7044934,50.7
2009/11/4,50.28,50.01,52.85,51.7,4652062,51.7
2009/11/5,51.44,50.5,54.49,52.5,5298379,52.5
2009/11/6,52,49.36,52.96,50.05,4175109,50.05
2009/11/9,49.81,47.98,50.42,48.33,3145749,48.33
2009/11/10,48.55,46.56,48.79,46.66,3149786,46.66
2009/11/11,46.13,45.11,47.13,46.8,2602840,46.8
2009/11/12,46.7,46.43,48.48,48.3,2673148,48.3
2009/11/13,48.34,48.01,51.8,50.28,4210148,50.28
2009/11/16,50.2,48.88,50.28,49.7,2996244,49.7
2009/11/17,49.5,49.01,50.7,49.3,1929430,49.3
2009/11/18,49.42,49.05,50.94,50.54,3066157,50.54
2009/11/19,50.61,50.2,55.5,53.05,5842210,53.05
2009/11/20,52.69,51.91,54.17,52.6,2845770,52.6
2009/11/23,52.5,52.3,54.08,53.85,2511877,53.85
2009/11/24,54.5,49.08,54.96,51.2,4057508,51.2
2009/11/25,50.75,50.32,53.98,53.58,3564195,53.58
2009/11/26,53.55,52.12,54.7,54.7,4178462,54.7
2009/11/27,55.8,55.8,59.84,56.9,5992965,56.9
2009/11/30,56.8,54,56.8,56.3,3168133,56.3
2009/12/1,55.96,54.5,56.29,55.57,2543968,55.57
2009/12/2,55.9,55.85,58.58,57.14,3949069,57.14
2009/12/3,57.14,56.7,59.62,59.6,3906645,59.6
2009/12/4,57.5,53.64,58.19,54.23,4202754,54.23
2009/12/7,53.94,53.71,55.96,55.27,1544855,55.27
2009/12/8,55.04,54.36,56.99,56,1884322,56
2009/12/9,55.5,55,57.98,56.28,2556389,56.28
2009/12/10,55.92,54.4,56.79,54.59,2040947,54.59
2009/12/11,54.95,51.4,54.96,52.3,2395957,52.3
2009/12/14,52.5,50.03,52.55,52.05,1553118,52.05
2009/12/15,52.48,51.81,53.38,52.39,1164547,52.39
2009/12/16,52.01,50.6,52.09,50.8,1575530,50.8
2009/12/17,50.89,48.15,51.2,48.27,1486636,48.27
2009/12/18,48.2,46.55,49.86,49,1947586,49
2009/12/21,48.51,48.35,49.58,49.15,916997,49.15
2009/12/22,49.57,46.67,49.57,46.67,1034290,46.67
