Date,High,Low,Close,Open,Volume,Close.adj
2018/10/16,69.79,58.16,69.79,58.16,419948,69.79
2018/10/17,76.78,76.78,76.78,76.78,186547,76.78
2018/10/18,84.45,72.88,80.42,84.45,55718541,80.42
2018/10/19,88.47,78.86,88.47,78.96,35319206,88.47
2018/10/22,97.32,91.39,97.32,93.36,17685766,97.32
2018/10/23,105.08,94.03,94.06,101.31,32962614,94.06
2018/10/24,99.82,94.55,96.39,94.74,24149984,96.39
2018/10/25,100.68,92.49,98.90,92.49,19315338,98.90
2018/10/26,102.30,91.88,96.54,99.12,18272124,96.54
2018/10/29,97.69,93.37,96.86,95.85,10286018,96.86
2018/10/30,99.22,92.08,96.69,95.85,14005735,96.69
2018/10/31,101.25,97.14,98.33,97.14,13522723,98.33
2018/11/01,104.88,98.43,101.64,100.29,15664145,101.64
2018/11/02,106.65,101.97,104.69,105.57,16217663,104.69
2018/11/05,105.85,98.78,101.73,104.17,13349537,101.73
2018/11/06,111.90,99.17,111.90,100.02,13529740,111.90
2018/11/07,112.91,107.96,109.25,111.89,11559522,109.25
2018/11/08,112.22,107.06,108.54,111.24,9042712,108.54
2018/11/09,113.03,106.27,110.03,106.77,8703255,110.03
2018/11/12,112.01,108.43,111.25,109.17,7992319,111.25
2018/11/13,116.21,107.79,109.31,109.25,13639629,109.31
2018/11/14,112.83,107.28,111.10,107.30,8502181,111.10
2018/11/15,112.01,108.46,111.24,110.11,6730872,111.24
2018/11/16,113.23,108.92,109.90,111.29,6909166,109.90
2018/11/19,112.08,107.86,109.40,108.27,6928135,109.40
2018/11/20,110.22,106.27,106.27,108.06,5462485,106.27
2018/11/21,112.26,104.93,110.94,105.28,9062260,110.94
2018/11/22,111.58,109.37,110.75,110.59,5197260,110.75
2018/11/23,112.83,107.27,107.57,111.04,5950853,107.57
2018/11/26,110.54,107.57,108.85,108.36,4179317,108.85
2018/11/27,110.25,103.79,105.84,109.91,8021725,105.84
2018/11/28,109.25,104.49,108.87,105.08,5516545,108.87
2018/11/29,111.21,108.06,108.09,110.25,4884839,108.09
2018/11/30,111.84,107.76,111.74,108.06,4134650,111.74
2018/12/03,122.82,112.57,118.69,114.72,9309546,118.69
2018/12/04,120.05,116.80,118.25,117.99,4519096,118.25
2018/12/05,122.27,115.87,119.86,116.21,5374878,119.86
2018/12/06,120.29,113.23,114.55,119.08,8233814,114.55
2018/12/07,115.46,111.94,113.37,115.09,5067642,113.37
2018/12/10,115.21,112.11,114.34,112.11,2984338,114.34
2018/12/11,115.51,111.74,112.59,114.87,4050229,112.59
2018/12/12,113.86,112.34,113.16,113.03,2752862,113.16
2018/12/13,115.47,112.78,115.41,113.13,2926751,115.41
2018/12/14,115.48,107.08,107.08,115.31,7269624,107.08
2018/12/17,106.27,101.26,105.51,105.40,4950579,105.51
2018/12/18,105.78,102.98,104.69,103.40,3132499,104.69
2018/12/19,105.56,97.11,97.56,105.04,7661781,97.56
2018/12/20,100.71,97.24,99.98,97.34,4779757,99.98
2018/12/21,99.85,97.84,98.65,99.09,3028352,98.65
2018/12/24,103.99,98.79,102.60,98.79,3656491,102.60
2018/12/25,106.26,101.31,105.27,101.71,4404731,105.27
2018/12/26,108.82,104.58,106.57,105.27,3533381,106.57
2018/12/27,108.61,106.10,106.78,107.96,4131329,106.78
2018/12/28,108.89,105.58,108.48,106.77,3253053,108.48
2019/1/02,106.08,98.87,103.08,105.73,5898761,103.08
2019/1/03,104.29,99.28,100.63,102.60,3845852,100.63
2019/1/04,102.15,98.81,100.89,99.90,4276913,100.89
2019/1/07,103.27,100.01,101.04,100.37,4345843,101.04
2019/1/08,101.30,97.12,98.83,100.42,5213478,98.83
2019/1/09,104.58,98.87,102.28,99.21,5818461,102.28
2019/1/10,104.47,101.59,102.62,103.59,4136218,102.62
2019/1/11,104.29,101.71,104.20,102.20,2072275,104.20
2019/1/14,104.09,101.98,103.39,104.09,1950428,103.39
2019/1/15,105.78,102.79,104.27,103.18,2113841,104.27
2019/1/16,105.67,103.11,104.97,103.95,2031040,104.97
2019/1/17,105.73,104.20,105.03,104.77,1658208,105.03
2019/1/18,108.96,104.68,108.76,104.68,3279080,108.76
2019/1/21,114.07,109.61,110.36,110.05,4207973,110.36
2019/1/22,111.62,106.78,107.75,110.84,2358542,107.75
2019/1/23,109.73,107.47,109.52,107.74,1460294,109.52
2019/1/24,109.45,106.06,107.27,108.86,2424214,107.27
2019/1/25,108.69,106.13,106.20,107.27,3073749,106.20
2019/1/28,107.45,105.38,105.59,106.66,1611291,105.59
2019/1/29,105.75,101.81,103.27,105.75,3294995,103.27
2019/1/30,106.22,102.35,105.41,103.10,2587858,105.41
2019/1/31,108.04,104.24,106.01,106.71,3138730,106.01
2019/2/01,110.45,106.13,110.21,106.58,3068125,110.21
2019/2/11,112.01,108.97,111.24,110.34,3598550,111.24
2019/2/12,114.10,110.74,113.05,111.04,3388824,113.05
2019/2/13,113.23,110.99,112.81,112.11,3492626,112.81
2019/2/14,116.12,112.06,114.95,112.61,3857411,114.95
2019/2/15,114.87,111.94,112.38,114.43,2578186,112.38
2019/2/18,114.96,112.41,114.28,112.41,3504403,114.28
2019/2/19,119.48,114.70,115.07,114.80,4290221,115.07
2019/2/20,115.16,110.77,112.23,114.83,3798315,112.23
2019/2/21,112.97,110.56,111.44,112.22,3222334,111.44
2019/2/22,113.82,110.74,113.40,111.24,3061310,113.40
2019/2/25,122.07,114.25,122.02,114.25,6022200,122.02
2019/2/26,121.67,117.85,118.39,121.66,4974801,118.39
2019/2/27,118.49,114.26,114.94,117.60,4237863,114.94
2019/2/28,126.44,115.89,126.44,116.45,8155407,126.44
2019/3/01,130.11,123.96,127.52,128.12,5811638,127.52
2019/3/04,137.86,128.83,131.65,128.83,7148453,131.65
2019/3/05,132.71,128.32,131.70,128.92,4834055,131.70
2019/3/06,133.11,127.58,129.96,131.80,5390518,129.96
2019/3/07,128.34,124.53,126.44,128.30,6437702,126.44
2019/3/08,128.44,122.17,124.96,123.16,5019720,124.96
2019/3/11,131.60,123.16,129.78,124.49,5088250,129.78
2019/3/12,132.10,124.64,127.37,130.10,5786816,127.37
2019/3/13,130.56,125.64,126.42,127.64,4456034,126.42
2019/3/14,131.10,126.14,129.57,126.40,3953903,129.57
2019/3/15,137.94,130.31,134.38,130.31,5391508,134.38
2019/3/18,135.59,126.14,131.10,135.57,7486044,131.10
2019/3/19,133.98,129.72,130.31,131.43,3710423,130.31
2019/3/20,132.59,129.12,131.23,129.13,2772843,131.23
2019/3/21,131.10,128.89,129.33,131.01,3474266,129.33
2019/3/22,130.41,128.03,129.52,129.99,2159911,129.52
2019/3/25,127.58,125.85,126.59,126.92,3654420,126.59
2019/3/26,129.08,125.93,127.11,127.35,3082674,127.11
2019/3/27,129.91,126.42,127.74,127.63,2171878,127.74
2019/3/28,131.30,126.24,129.95,127.01,2602920,129.95
2019/3/29,133.59,129.95,133.39,129.95,3450311,133.39
2019/4/01,138.08,132.99,134.56,134.88,4805319,134.56
